agency_id,route_id,route_name
DIMTS,256,706UP
DIMTS,593,628STLUP
DIMTS,1497,173UP
DIMTS,506,136UP
DIMTS,10570,825STLUP2
DIMTS,10571,RL-79ADOWN
DIMTS,625,745DOWN
DIMTS,971,103LSTLDOWN
DIMTS,10109,433DOWN
DIMTS,2057,237UP
DIMTS,176,979ADOWN
DIMTS,10572,188STLUP
DIMTS,10573,917LSTLDOWN
DIMTS,1005,988UP
DIMTS,10574,546STLUP
DIMTS,50,722UP
DIMTS,638,RL-77UP
DIMTS,1865,740EXTDOWN
DIMTS,746,807ADOWN
DIMTS,10575,824LSTLDOWN2
DIMTS,1742,708DOWN
DIMTS,1391,405ADOWN
DIMTS,10112,RL-77BUP
DIMTS,1744,213UP
DIMTS,10576,ML96STLUP
DIMTS,10577,874ADOWN3
DIMTS,1674,112UP
DIMTS,775,336ADOWN
DIMTS,1590,112AUP
DIMTS,2068,628LSTLDOWN
DIMTS,2082,946STLDOWN
DIMTS,269,929UP
DIMTS,1010,546UP
DIMTS,10114,991UP
DIMTS,10578,919DWN
DIMTS,90,623EXTUP
DIMTS,10579,874AUP3
DIMTS,1770,174BSTLDOWN
DIMTS,526,836EDOWN
DIMTS,1652,872STLUP
DIMTS,793,871UP
DIMTS,1564,834UP
DIMTS,10580,784ADOWN
DIMTS,10115,544UP
DIMTS,562,993UP
DIMTS,1020,311AUP
DIMTS,1098,829DOWN
DIMTS,1675,125EXTUP
DIMTS,10116,GL-91ADOWN
DIMTS,1722,990ECLDOWN
DIMTS,10581,131STLUP2
DIMTS,819,890DOWN
DIMTS,1009,109DOWN
DIMTS,1657,836UP
DIMTS,1344,523AUP
DIMTS,286,717ADOWN
DIMTS,284,981AUP
DIMTS,668,307DOWN
DIMTS,1223,317DOWN
DIMTS,1569,836LNKSTLUP
DIMTS,10118,375DOWN
DIMTS,1427,307LSTLUP
DIMTS,10119,448DOWN
DIMTS,10120,GL-91UP
DIMTS,1407,165ADOWN
DIMTS,10121,RL-75UP
DIMTS,1238,88AUP
DIMTS,1043,850LTDDOWN
DIMTS,490,539ADOWN
DIMTS,2005,923DOWN
DIMTS,435,254UP
DIMTS,599,578EUP
DIMTS,1110,893AUP
DIMTS,1785,833ADOWN
DIMTS,10582,828STLUP2
DIMTS,10583,879STLUP
DIMTS,2074,741UP
DIMTS,1327,390UP
DIMTS,1949,405DOWN
DIMTS,1158,126DOWN
DIMTS,1789,405UP
DIMTS,861,112ADOWN
DIMTS,1225,113ADOWN
DIMTS,1448,136DOWN
DIMTS,1370,773DOWN
DIMTS,2052,763DOWN
DIMTS,1555,806DOWN
DIMTS,1142,518UP
DIMTS,1689,816DOWN
DIMTS,1188,270UP
DIMTS,2098,728ADOWN
DIMTS,1602,816BDOWN
DIMTS,10584,825STLDOWN2
DIMTS,1714,801LNKSTLDOWN
DIMTS,2059,171UP
DIMTS,155,391DOWN
DIMTS,635,227AUP
DIMTS,210,114BUP
DIMTS,1760,109UP
DIMTS,10585,850BUP
DIMTS,608,AIR-06UP
DIMTS,10586,957BDOWN
DIMTS,1506,258STLDOWN
DIMTS,2095,874DOWN
DIMTS,10122,DW-3DOWN
DIMTS,178,711DOWN
DIMTS,341,743LSTLDOWN
DIMTS,962,701DOWN
DIMTS,2091,114CDOWN
DIMTS,1630,144DOWN
DIMTS,10587,568AUP
DIMTS,2147,153STLDOWN
DIMTS,998,781UP
DIMTS,10588,215DWN
DIMTS,10589,104LSTLUP
DIMTS,841,232DOWN
DIMTS,10123,DW-4AUP
DIMTS,750,939STLUP
DIMTS,10124,DW-5UP
DIMTS,10590,131ADOWN2
DIMTS,160,85UP
DIMTS,951,822DOWN
DIMTS,10591,182EDOWN
DIMTS,714,937ADOWN
DIMTS,10592,878STLDOWN2
DIMTS,10593,116AUP
DIMTS,10594,567ASTLUP2
DIMTS,772,274DOWN
DIMTS,955,891STLUP
DIMTS,65,174LSTLUP
DIMTS,1798,724AUP
DIMTS,2149,874UP
DIMTS,10595,708DWN
DIMTS,10596,998STLUP2
DIMTS,10597,356STLUP2
DIMTS,1038,112DOWN
DIMTS,1329,102DOWN
DIMTS,10598,108AUP
DIMTS,705,236EDOWN
DIMTS,10126,991DOWN
DIMTS,598,728AUP
DIMTS,927,981DOWN
DIMTS,1901,725DOWN
DIMTS,10599,172BDOWN
DIMTS,10127,DW-4ADOWN
DIMTS,10600,934STLDOWN2
DIMTS,319,727UP
DIMTS,710,824LINKSTLUP
DIMTS,2026,919STLDOWN
DIMTS,461,540STLUP
DIMTS,10128,RL-77EXTUP
